date,copra_farmgate
2010-05-01,17.65
2010-06-01,18.68
2010-07-01,20.7
2010-08-01,22.78
2010-09-01,24.83
2010-10-01,27.62
2010-11-01,29.62
2010-12-01,32.66
2011-01-01,40.41
2011-02-01,43.16
2011-03-01,35.77
2011-04-01,39.31
2011-05-01,39.63
2011-06-01,35.24
2011-07-01,31.94
2011-08-01,24.33
2011-09-01,23.57
2011-10-01,23.27
2011-11-01,26.63
2011-12-01,27.15
2012-01-01,27.12
2012-02-01,26.77
2012-03-01,25.71
2012-04-01,24.37
2012-05-01,19.46
2012-06-01,18.46
2012-07-01,17.56
2012-08-01,16.66
2012-09-01,15.98
2012-10-01,14.41
2012-11-01,12.41
2012-12-01,12.46
2013-01-01,13.12
2013-02-01,13.37
2013-03-01,13.02
2013-04-01,12.54
2013-05-01,13.18
2013-06-01,14.85
2013-07-01,15.14
2013-08-01,15.8
2013-09-01,16.88
2013-10-01,17.5
2013-11-01,21.35
2013-12-01,23.83
2014-01-01,25.89
2014-02-01,28.3
2014-03-01,28.84
2014-04-01,28.67
2014-05-01,28.68
2014-06-01,26.67
2014-07-01,22.7
2014-08-01,21.1
2014-09-01,21.29
2014-10-01,20.79
2014-11-01,21.54
2014-12-01,21.62
2015-01-01,21.17
2015-02-01,21.27
2015-03-01,20.57
2015-04-01,20.81
2015-05-01,21.51
2015-06-01,21.69
2015-07-01,21.56
2015-08-01,20.78
2015-09-01,21.24
2015-10-01,21.37
2015-11-01,21.39
2015-12-01,22.07
2016-01-01,22.91
2016-02-01,24.24
2016-03-01,28.21
2016-04-01,30.63
2016-05-01,30.02
2016-06-01,30.78
2016-07-01,30.68
2016-08-01,31.17
2016-09-01,31.65
2016-10-01,31.92
2016-11-01,31.98
2016-12-01,35.89
2017-01-01,37.86
2017-02-01,37.0
2017-03-01,35.55
2017-04-01,36.38
2017-05-01,36.93
2017-06-01,37.86
2017-07-01,35.88
2017-08-01,35.81
2017-09-01,35.54
2017-10-01,34.29
2017-11-01,34.94
2017-12-01,33.08
2018-01-01,31.48
2018-02-01,27.69
2018-03-01,24.4
2018-04-01,23.73
2018-05-01,24.71
2018-06-01,19.78
2018-07-01,19.65
2018-08-01,19.76
2018-09-01,19.51
2018-10-01,17.34
2018-11-01,15.09
2018-12-01,15.84
2019-01-01,16.15
2019-02-01,14.29
2019-03-01,13.61
2019-04-01,13.53
2019-05-01,13.64
2019-06-01,13.53
2019-07-01,13.44
2019-08-01,13.59
2019-09-01,13.59
2019-10-01,13.42
2019-11-01,14.42
2019-12-01,18.0
2020-01-01,20.1
2020-02-01,18.05
2020-03-01,16.35
2020-04-01,16.05
2020-05-01,16.48
2020-06-01,17.7
2020-07-01,18.43
2020-08-01,18.91
2020-09-01,19.81
2020-10-01,21.07
2020-11-01,25.85
2020-12-01,28.57
2021-01-01,29.84
2021-02-01,28.97
2021-03-01,29.64
2021-04-01,30.3
2021-05-01,31.3
2021-06-01,31.61
2021-07-01,31.69
2021-08-01,30.64
2021-09-01,29.44
2021-10-01,33.14
2021-11-01,34.55
2021-12-01,33.05
2022-01-01,36.18
2022-02-01,39.5
2022-03-01,42.53
2022-04-01,42.73
2022-05-01,38.04
2022-06-01,35.72
2022-07-01,31.34
2022-08-01,27.34
2022-09-01,25.95
2022-10-01,24.18
2022-11-01,24.51
2022-12-01,23.6
2023-01-01,21.98
2023-02-01,21.95
2023-03-01,22.45
2023-04-01,22.17
2023-05-01,22.23
2023-06-01,22.23
2023-07-01,23.01
2023-08-01,23.39
2023-09-01,23.43
2023-10-01,22.89
2023-11-01,23.33
2023-12-01,23.78
2024-01-01,23.61
2024-02-01,24.03
2024-03-01,24.19
2024-04-01,26.61
2024-05-01,26.9
2024-06-01,33.04
2024-07-01,33.66
2024-08-01,32.93
2024-09-01,36.46
2024-10-01,36.52
2024-11-01,51.68
2024-12-01,69.03
2025-01-01,44.11
2025-02-01,49.37
2025-03-01,53.03
2025-04-01,60.47
2025-05-01,62.15
2025-06-01,61.68
2025-07-01,53.52
2025-08-01,53.34
2025-09-01,51.6
2025-10-01,55.83
2025-11-01,56.23
2025-12-01,52.44
