Date,Price
1-Jan-00,654
2-Feb-00,591
5-Mar-00,552
6-Apr-00,550
8-May-00,481
9-Jun-00,437
11-Jul-00,400
12-Aug-00,371
13-Sep-00,332
15-Oct-00,340
16-Nov-00,367
18-Dec-00,329
19-Jan-01,319
20-Feb-01,285
24-Mar-01,289
25-Apr-01,293
27-May-01,295
28-Jun-01,317
30-Jul-01,358
31-Aug-01,363
2-Oct-01,322
3-Nov-01,307
5-Dec-01,330
6-Jan-02,339
7-Feb-02,362
11-Mar-02,376
12-Apr-02,366
14-May-02,411
15-Jun-02,420
17-Jul-02,446
18-Aug-02,445
19-Sep-02,443
21-Oct-02,410
22-Nov-02,434
24-Dec-02,457
25-Jan-03,482
26-Feb-03,494
30-Mar-03,477
1-May-03,441
2-Jun-03,421
4-Jul-03,440
5-Aug-03,459
6-Sep-03,439
8-Oct-03,421
9-Nov-03,431
11-Dec-03,487
12-Jan-04,515
13-Feb-04,583
16-Mar-04,584
17-Apr-04,642
19-May-04,685
20-Jun-04,736
22-Jul-04,716
23-Aug-04,658
24-Sep-04,669
26-Oct-04,627
27-Nov-04,657
29-Dec-04,642
30-Jan-05,659
3-Mar-05,654
4-Apr-05,646
6-May-05,646
7-Jun-05,710
9-Jul-05,679
10-Aug-05,647
11-Sep-05,638.75
13-Oct-05,606
14-Nov-05,550
16-Dec-05,559
17-Jan-06,587
18-Feb-06,582
22-Mar-06,553
23-Apr-06,569
25-May-06,591
26-Jun-06,575
28-Jul-06,578
29-Aug-06,583
30-Sep-06,575
1-Nov-06,583.25
3-Dec-06,606
4-Jan-07,609
5-Feb-07,626
9-Mar-07,656
10-Apr-07,731.67
12-May-07,731
13-Jun-07,763
15-Jul-07,769
16-Aug-07,827.5
17-Sep-07,894
19-Oct-07,979
20-Nov-07,929
22-Dec-07,910
23-Jan-08,930
24-Feb-08,1010
27-Mar-08,1131
28-Apr-08,1153
30-May-08,1285
1-Jul-08,1382
2-Aug-08,1471
3-Sep-08,1443
5-Oct-08,1502
6-Nov-08,1551
8-Dec-08,1436
9-Jan-09,1193
10-Feb-09,1110
14-Mar-09,856
15-Apr-09,719
17-May-09,740
18-Jun-09,734
20-Jul-09,673
21-Aug-09,625
22-Sep-09,747
24-Oct-09,842.5
25-Nov-09,747
27-Dec-09,685
28-Jan-10,747
1-Mar-10,701
2-Apr-10,706
4-May-10,729
5-Jun-10,768
7-Jul-10,784
8-Aug-10,798
9-Sep-10,921
11-Oct-10,940
12-Nov-10,932
14-Dec-10,993
15-Jan-11,1031
16-Feb-11,1170
20-Mar-11,1275
21-Apr-11,1412
23-May-11,1512
24-Jun-11,1715
26-Jul-11,2038
27-Aug-11,2256
28-Sep-11,1925
30-Oct-11,2089
1-Dec-11,2097
2-Jan-12,1803
3-Feb-12,1662
6-Mar-12,1454
7-Apr-12,1305
9-May-12,1208
10-Jun-12,1479
12-Jul-12,1445
13-Aug-12,1451
14-Sep-12,1411
16-Oct-12,1338
17-Nov-12,1348
19-Dec-12,1155
20-Jan-13,1058
21-Feb-13,1070
25-Mar-13,1001
26-Apr-13,967
28-May-13,898
29-Jun-13,848
31-Jul-13,785
1-Sep-13,828.64
3-Oct-13,853.25
4-Nov-13,818.75
6-Dec-13,791.43
7-Jan-14,822.5
8-Feb-14,890.63
12-Mar-14,860.43
13-Apr-14,892.61
15-May-14,985.24
16-Jun-14,985.65
18-Jul-14,1274.5
19-Aug-14,1270
20-Sep-14,1269.09
22-Oct-14,1364
23-Nov-14,1389.05
25-Dec-14,1356.13
26-Jan-15,1413.25
27-Feb-15,1393.25
31-Mar-15,1255.22
2-May-15,1187.62
3-Jun-15,1193.41
5-Jul-15,1148.7
6-Aug-15,1191.63
7-Sep-15,1212.14
9-Oct-15,1145.71
10-Nov-15,1160.5
12-Dec-15,1090.68
13-Jan-16,1077.5
14-Feb-16,1131.94
17-Mar-16,1123.64
18-Apr-16,1103.04
20-May-16,1032.38
21-Jun-16,1051.59
23-Jul-16,1104.09
24-Aug-16,1071.07
25-Sep-16,1150
27-Oct-16,1152
28-Nov-16,1218.93
30-Dec-16,1440.48
31-Jan-17,1580.95
4-Mar-17,1439.5
5-Apr-17,1547.95
7-May-17,1515
8-Jun-17,1575
10-Jul-17,1557.39
11-Aug-17,1473.57
12-Sep-17,1553.41
14-Oct-17,1727.14
15-Nov-17,1818.64
17-Dec-17,1688.25
18-Jan-18,1542.39
19-Feb-18,1589.72
23-Mar-18,1719.29
24-Apr-18,1869.76
26-May-18,1644.05
27-Jun-18,1845
29-Jul-18,1600.95
30-Aug-18,1484.77
1-Oct-18,1554.32
2-Nov-18,1450.66
4-Dec-18,1393.86
5-Jan-19,1244.25
6-Feb-19,1118.63
10-Mar-19,1131.18
11-Apr-19,1027.75
13-May-19,931.19
14-Jun-19,916.25
16-Jul-19,915.22
17-Aug-19,897.13
18-Sep-19,830.25
20-Oct-19,759.26
21-Nov-19,796.27
23-Dec-19,773.07
24-Jan-20,710.43
25-Feb-20,678.56
28-Mar-20,668.63
29-Apr-20,661.17
31-May-20,635.6
2-Jul-20,657.31
3-Aug-20,719.28
4-Sep-20,724.03
6-Oct-20,719.52
7-Nov-20,848.92
9-Dec-20,1031.29
10-Jan-21,1003.72
11-Feb-21,844.12
15-Mar-21,837.72
16-Apr-21,834.51
18-May-21,832.33
19-Jun-21,916.38
21-Jul-21,888.31
22-Aug-21,981.3
23-Sep-21,1034.18
25-Oct-21,1118.36
26-Nov-21,1368.95
28-Dec-21,1464.96
29-Jan-22,1463.07
2-Mar-22,1444.5
3-Apr-22,1540.65
5-May-22,1659.64
6-Jun-22,1715.24
8-Jul-22,1670.68
9-Aug-22,1584.09
10-Sep-22,1493.64
12-Oct-22,1485
13-Nov-22,1922.86
15-Dec-22,1960.68
16-Jan-23,1695.71
17-Feb-23,2016.14
21-Mar-23,2147.89
22-Apr-23,2230.22
24-May-23,2094.61
25-Jun-23,1813.33
27-Jul-23,1700.5
28-Aug-23,1540.53
29-Sep-23,1384.57
31-Oct-23,1248.1
2-Dec-23,1108.1
3-Jan-24,1173.25
4-Feb-24,1158.41
7-Mar-24,1078.5
8-Apr-24,1086.67
10-May-24,1114.75
11-Jun-24,1073.95
13-Jul-24,1047.69
14-Aug-24,1012.73
15-Sep-24,1047.38
17-Oct-24,1099.09
18-Nov-24,1071.67
20-Dec-24,1046.43
21-Jan-25,1114.55
22-Feb-25,1108.81
26-Mar-25,1130.57
27-Apr-25,1171.58
29-May-25,1287.86
30-Jun-25,1425.23
1-Aug-25,1401.74
2-Sep-25,1397.89
4-Oct-25,1474.35
5-Nov-25,1618.64
7-Dec-25,1735.75

