model,DA,balanced_accuracy,precision,recall,f1,n_predictions,method,feature_set,model_type,result_key
Decision Tree Classifier,0.6320754716981132,0.6306838524883638,0.6,0.6122448979591837,0.6060606060606061,106,Raw,no_scfm,dt_clf,Raw_no_scfm_dt_clf
Decision Tree Classifier,0.6320754716981132,0.6263873970640887,0.6136363636363636,0.5510204081632653,0.5806451612903226,106,Raw,with_scfm,dt_clf,Raw_with_scfm_dt_clf
GBM Classifier,0.6226415094339622,0.6247762262799856,0.5818181818181818,0.6530612244897959,0.6153846153846154,106,Raw,with_scfm,gbm_clf,Raw_with_scfm_gbm_clf
Random Forest Classifier,0.6132075471698113,0.6117078410311493,0.58,0.5918367346938775,0.5858585858585859,106,Raw,with_scfm,rf_clf,Raw_with_scfm_rf_clf
Random Forest Classifier,0.6037735849056604,0.6015037593984962,0.5714285714285714,0.5714285714285714,0.5714285714285714,106,Raw,no_scfm,rf_clf,Raw_no_scfm_rf_clf
GBM Classifier,0.5943396226415094,0.5927318295739348,0.56,0.5714285714285714,0.5656565656565656,106,Raw,no_scfm,gbm_clf,Raw_no_scfm_gbm_clf
KNN Classifier,0.5754716981132075,0.5708915145005371,0.5434782608695652,0.5102040816326531,0.5263157894736842,106,Raw,with_scfm,knn_clf,Raw_with_scfm_knn_clf
SVM Classifier,0.5754716981132075,0.5708915145005371,0.5434782608695652,0.5102040816326531,0.5263157894736842,106,Raw,no_scfm,svm_clf,Raw_no_scfm_svm_clf
SVM Classifier,0.5660377358490566,0.5621195846759757,0.5319148936170213,0.5102040816326531,0.5208333333333334,106,Raw,with_scfm,svm_clf,Raw_with_scfm_svm_clf
Logistic Regression,0.5566037735849056,0.5476190476190476,0.525,0.42857142857142855,0.47191011235955055,106,Raw,no_scfm,logistic,Raw_no_scfm_logistic
KNN Classifier,0.5377358490566038,0.5329394915861081,0.5,0.46938775510204084,0.4842105263157895,106,Raw,no_scfm,knn_clf,Raw_no_scfm_knn_clf
Logistic Regression,0.5283018867924528,0.5198711063372717,0.4878048780487805,0.40816326530612246,0.4444444444444444,106,Raw,with_scfm,logistic,Raw_with_scfm_logistic
